"question","answer"
"My mom is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My mum is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My dad is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My mother is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My father is choking
","If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.
"
"My kid is choking
","For kids over 1-year old: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My child is choking
","For kids over 1-year old: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My young is choking
","For kids over 1-year old: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"My baby is choking
","If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"What to do in drowning
","If he/she is not breathing or has lost consciousness, call an ambulance. Repeat 5 rescue breaths, 30 compressions, 2 rescue breaths until help arrives.
"
"How to treat choking
","For yourself: Start coughing to expel the foreign body. If the obstruction persists, find a table or the back of a chair and press on it the center of your chest.\nFor adults: If the victim is breathing encourage them to cough loudly while looking down. Help him/her bend forward and hit it with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts at the center of the chest by putting one hand into a fist and pressing it in and upwards with the help of the other handand up. If he loses consciousness and collapses then we apply CPR for adults.\nFor childen: If the child is breathing, encourage him/her to cough loudly. Help the child lean forward and hit him/her hard with the base of the palm between the two shoulder blades five times. If there is still an obstruction then we apply 5 abdominal thrusts where the sternum ends at the center of the chest by putting one hand into a fist and pressing with the other in and upwards. Abdominal compressions are allowed from the 2nd year of age. If he/she loses consciousness and collapses then we apply CPR for children.\nFor infants: If the infant is not breathing and is not crying, place the infant on the forearm of one hand holding his jaw open with our hand and tap him five times between the shoulder blades. If there is still an obstruction then we apply 5 chest compressions between the nipples. If it loses consciousness and collapses, apply CPR for infants.
"
"What to do if someone is Drowning?
","Call emergency services immediately. Check the person's breathing and pulse. If they are not breathing, start CPR immediately. If the person is not breathing, tilt their head back and clear their airway of any obstructions or water. Repeat 5 rescue breaths, 30 compressions, 2 rescue breaths until help arrives. 
"
"what to do if someone drowned?
","Call emergency services immediately. Check the person's breathing and pulse. If they are not breathing, start CPR immediately. If the person is not breathing, tilt their head back and clear their airway of any obstructions or water. Repeat 5 rescue breaths, 30 compressions, 2 rescue breaths until help arrives. 
"
"What steps to take if i see a drowning person?
","Call emergency services immediately. Check the person's breathing and pulse. If they are not breathing, start CPR immediately. If the person is not breathing, tilt their head back and clear their airway of any obstructions or water. Repeat 5 rescue breaths, 30 compressions, 2 rescue breaths until help arrives. 
"
"How to help a drowning person?
","Call emergency services immediately. Check the person's breathing and pulse. If they are not breathing, start CPR immediately. If the person is not breathing, tilt their head back and clear their airway of any obstructions or water. Repeat 5 rescue breaths, 30 compressions, 2 rescue breaths until help arrives. 
"
"How to help a drowning person in CPR?
","For an adult or child, place the heel of one hand on the center of the chest at the nipple line. You can also push with one hand on top of the other. For an infant, place two fingers on the breastbone. For an adult or child, press down at least 2 inches. Make sure not to press on ribs. For an infant, press down about 1 and 1/2 inches. Make sure not to press on the end of the breastbone. Do chest compressions only, at the rate of 100-120 per minute or more. Let the chest rise completely between pushes. Check to see if the person has started breathing.
"
"sprain
","A sprain is a partial or complete rupture of the ligaments of a joint, which it is not followed by the displacement of the articular surfaces. Symptoms include pain and tenderness on the affected, swelling, bruising and difficulty to move the joinnt. Place cold patches or ice covered in a towel for 10-20 minutes. Bandage the joint with an elastic bandage for joint immobilization. Hang from the neck, if it is an arm, or lift to a comfortable position if it is a leg. Rest.
"
"what is a sprain
","A sprain is a partial or complete rupture of the ligaments of a joint, which it is not followed by the displacement of the articular surfaces.
"
"how to treat a sprain
","Place cold patches or ice covered in a towel for 10-20 minutes. Bandage the joint with an elastic bandage for joint immobilization. Hang from the neck, if it is an arm, or lift to a comfortable position if it is a leg. Rest.
"
"what are the symptoms of a sprain
","Symptoms include pain and tenderness on the affected, swelling, bruising and difficulty to move the joinnt.
"
"How do you treat a sprain?
","Place cold patches or ice covered in a towel for 10-20 minutes. Bandage the joint with an elastic bandage for joint immobilization. Hang from the neck, if it is an arm, or lift to a comfortable position if it is a leg. Rest.
"
"what to do if i get a sprain?
","Place cold patches or ice covered in a towel for 10-20 minutes. Bandage the joint with an elastic bandage for joint immobilization. Hang from the neck, if it is an arm, or lift to a comfortable position if it is a leg. Rest.
"
"Which medicine or cream to apply if I get a sprain?
","Topical creams or ointments containing menthol, camphor, or capsaicin may help relieve pain and provide a cooling or warming sensation.
"
"dislocation
","Dislocation is a ligament damage of a joint with displacement of the articular surfaces of the bones. Symptoms include deformity, severe excruciating pain with movement, lack of movement, swelling (optional), bruising (optional). Treat the dislocated area with cold pads for 10-15 minutes. Immobilize joint with a temporary splint. Place the member in a comfortable position. Do not try to put bone back in place if you are a non-specialist physician. Immediately transport patient to the hospital.
"
"disclocated bone
","Dislocation is a ligament damage of a joint with displacement of the articular surfaces of the bones. Symptoms include deformity, severe excruciating pain with movement, lack of movement, swelling (optional), bruising (optional). Treat the dislocated area with cold pads for 10-15 minutes. Immobilize joint with a temporary splint. Place the member in a comfortable position. Do not try to put bone back in place if you are a non-specialist physician. Immediately transport patient to the hospital.
"
"what is a dislocation
","Ligament damage of a joint with displacement of the articular surfaces of the bones.
"
"how to treat a dislocated bone
","Cold pads for 10-15 minutes. Joint immobilization with a temporary splint. Place the member in a comfortable position. Do not try to put bone back in place if you are a non-specialist physician. Immediately transport patient to the hospital.
"
"what are the symptoms of a disclocated bone
","Symptoms include deformity, severe excruciating pain with movement, lack of movement, swelling (optional), bruising (optional).
"
"Bone off my body
","Dislocation is a ligament damage of a joint with displacement of the articular surfaces of the bones. Symptoms include deformity, severe excruciating pain with movement, lack of movement, swelling (optional), bruising (optional). Treat the dislocated area with cold pads for 10-15 minutes. Immobilize joint with a temporary splint. Place the member in a comfortable position. Do not try to put bone back in place if you are a non-specialist physician. Immediately transport patient to the hospital.
"
"Fracture
","A fracture is the breaking of a bone. \nSymptoms include intense pain when the limb is moved, swelling, bruising, difficulty moving, abnormal movement, deformation, shortening of member. \nImmobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Suspend the broken hand or elevate the broken leg. Transport to hospital.
"
"Fractured or Broken hand
","Immobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Suspend the broken hand. Transport to hospital.
"
"Fractured or Broken Leg
","A fracture is the breaking of a bone. \nSymptoms include intense pain when the limb is moved, swelling, bruising, difficulty moving, abnormal movement, deformation, shortening of member. \nImmobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Elevate the broken leg. Transport to hospital.
"
"what is a fracture
","A fracture is the breaking of a bone. 
"
"what are the symptoms of a fracture or a broken bone
","Symptoms include intense pain when the limb is moved, swelling, bruising, difficulty moving, abnormal movement, deformation, shortening of member.
"
"How do you treat a Fracture?
","Immobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Suspend broken hand or elevate the broken leg. Transport to hospital.
"
"what to do if i get a Fracture?
","Immobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Suspend the broken hand or elevate the broken leg. Transport to hospital.
"
"Which medicine to take if I have a Fracture?
","Generally, over-the-counter pain relievers such as acetaminophen or ibuprofen can help to manage the pain associated with a fracture. However, for more severe fractures, your doctor may prescribe stronger pain medication.
"
"How to cure a Fracture?
","Immobilize the member in its current position. Do not move it. Attach a splint or board or hard cardboard) around it and secure it with tape or tie it so that it remains in a fixed position. Suspend the broken hand or elevate the broken leg. Transport to hospital.
"
"How do you treat a Broken Toe?
","Try to stay off your feet and rest the affected foot as much as possible. Apply ice to the affected area for 15-20 minutes at a time, several times a day. This can help reduce swelling and relieve pain. Elevate the affected foot above the level of your heart to help reduce swelling.Use medical tape or adhesive bandages to tape the broken toe to the adjacent toe. Avoid wearing tight or uncomfortable shoes, and wear shoes that provide ample room for your toes to move around.
"
"what to do if i get a Broken Toe?
","Try to stay off your feet and rest the affected foot as much as possible. Apply ice to the affected area for 15-20 minutes at a time, several times a day. This can help reduce swelling and relieve pain. Elevate the affected foot above the level of your heart to help reduce swelling.Use medical tape or adhesive bandages to tape the broken toe to the adjacent toe. Avoid wearing tight or uncomfortable shoes, and wear shoes that provide ample room for your toes to move around.
"
"Which medicine to take if I get a Broken Toe?
","Generally, over-the-counter pain relievers such as acetaminophen or ibuprofen can help to manage the pain associated with a fracture. However, for more severe fractures, your doctor may prescribe stronger pain medication.
"
"How to cure Broken Toe?
","Try to stay off your feet and rest the affected foot as much as possible. Apply ice to the affected area for 15-20 minutes at a time, several times a day. This can help reduce swelling and relieve pain. Elevate the affected foot above the level of your heart to help reduce swelling.Use medical tape or adhesive bandages to tape the broken toe to the adjacent toe. Avoid wearing tight or uncomfortable shoes, and wear shoes that provide ample room for your toes to move around.
"
"Spinal Cord injury
","Call for emergency medical help: Spinal cord injuries can be life-threatening, so it's important to call for emergency medical help immediately. Do not move the person if you suspect they have a spinal cord injury. Keep them still and stabilize their head and neck with your hands or with a rigid collar until medical help arrives. Do not remove any helmets or protective gear. Secure the victim's airway open and make sure the victim can breathe. If there is any bleeding, try to control it by applying direct pressure to the wound with a clean cloth. In case of adverse weather, protect the victim of hypothermia or heat stroke. Provide comfort and reassurance.
"
"neck or spine injury
","Call for emergency medical help: Spinal cord injuries can be life-threatening, so it's important to call for emergency medical help immediately. Do not move the person if you suspect they have a spinal cord injury. Keep them still and stabilize their head and neck with your hands or with a rigid collar until medical help arrives. Do not remove any helmets or protective gear. Secure the victim's airway open and make sure the victim can breathe. If there is any bleeding, try to control it by applying direct pressure to the wound with a clean cloth. In case of adverse weather, protect the victim of hypothermia or heat stroke. Provide comfort and reassurance.
"
"How do you treat bleeding?
","To treat a bleeding caused by a skin wound begin with washed hands. Wash the wound with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the wound is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the wound with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the wound with cotton, because it can stick into the wound. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional. For other types of bleeding like a nose bleeding, please specify to receive the according instructions and information.
"
"what to do if i get a Bleeding?
","To treat a bleeding caused by a skin wound begin with washed hands. Wash the wound with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the wound is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the wound with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the wound with cotton, because it can stick into the wound. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional. For other types of bleeding like a nose bleeding, please specify to receive the according instructions and information.
"
"How to cure Bleeding?
","To treat a bleeding caused by a skin wound begin with washed hands. Wash the wound with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the wound is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the wound with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the wound with cotton, because it can stick into the wound. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional. For other types of bleeding like a nose bleeding, please specify to receive the according instructions and information.
"
"amputated limb
","First control bleeding. Tie a piece of cloth tight around the amputated limb to stop or downsize the amound of bleeding. Immediately transport the injured to the hospital. Transport along the amputated limb in a bag of ice. CAUTION: The amputated limb must not come into direct contact with the ice.
"
"cut off limb
","First control bleeding. Tie a piece of cloth tight around the amputated limb to stop or downsize the amound of bleeding. Immediately transport the injured to the hospital. Transport along the amputated limb in a bag of ice. CAUTION: The amputated limb must not come into direct contact with the ice.
"
"How do you treat a bleeding nose?
","Place the head slightly tilted forward so that it looks at the toes of both his shoes. Press on the nasal chambers for 10-15 min. Spit out any excessive blood. Do not swallow it because it may cause vomiting. In persistent nosebleed immediately transfer to hospital.
"
"what to do if i my nose is bleeding?
","Place the head slightly tilted forward so that it looks at the toes of both his shoes. Press on the nasal chambers for 10-15 min. Spit out any excessive blood. Do not swallow it because it may cause vomiting. In persistent nosebleed immediately transfer to hospital.
"
"Which medicine to take if I get nose bleed?
","Place the head slightly tilted forward so that it looks at the toes of both his shoes. Press on the nasal chambers for 10-15 min. Spit out any excessive blood. Do not swallow it because it may cause vomiting. In persistent nosebleed immediately transfer to hospital.
"
"How to cure nose bleeding?
","Place the head slightly tilted forward so that it looks at the toes of both his shoes. Press on the nasal chambers for 10-15 min. Spit out any excessive blood. Do not swallow it because it may cause vomiting. In persistent nosebleed immediately transfer to hospital.
"
"How do you treat Rectal Bleeding?
","If you are experiencing rectal bleeding, it's important to seek medical attention to determine the underlying cause and receive appropriate treatment. Avoid any activities that could worsen the bleeding, such as strenuous exercise or heavy lifting. If the bleeding does not stop or if it's frequent, seek medical help.
"
"what to do if i get a Rectal Bleeding?
","If you are experiencing rectal bleeding, it's important to seek medical attention to determine the underlying cause and receive appropriate treatment. Avoid any activities that could worsen the bleeding, such as strenuous exercise or heavy lifting. If the bleeding does not stop or if it's frequent, seek medical help.
"
"Which medicine to take if I get Rectal Bleeding?
","Over-the-counter creams or ointments, such as hydrocortisone cream, can help to reduce inflammation and itching around the anus.
"
"How to cure Rectal Bleeding?
","If you are experiencing rectal bleeding, it's important to seek medical attention to determine the underlying cause and receive appropriate treatment. Avoid any activities that could worsen the bleeding, such as strenuous exercise or heavy lifting. If the bleeding does not stop or if it's frequent, seek medical help.
"
"vaginal bleeding
","If you are experiencing vaginal bleeding, it's important to seek medical attention to determine the underlying cause and receive appropriate treatment. Avoid any activities that could worsen the bleeding, such as strenuous exercise or heavy lifting. Use pads or tampons to manage the bleeding.
"
"What to do if Cuts?
","Begin with washed hands. Wash the cut with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the cut is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the cut with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the cut with cotton, because it can stick into the cut. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional.
"
"How to cure Cuts?
","Begin with washed hands. Wash the cut with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the cut is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the cut with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the cut with cotton, because it can stick into the cut. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional.
"
"Which medicine to apply for Cuts?
","Begin with washed hands. Wash the cut with normal saline or plenty of clean water with a sterile gauze, cotton or a clean piece of cloth. Gently remove any dirt, glass or other materials if possible. If the cut is bleeding put pressure with a clean gauze or cloth continuously for a few minutes. When the bleeding stops clean the cut with antiseptic solution and cover it with a sterile adhesive bandage or wrap it with a sterile gauze pad and adhesive tape. Avoid covering the cut with cotton, because it can stick into the cut. If foreign objects cannot be removed, seek medical help. Change the wound every one to two days until it heals the wound. If you notice inflammation, intense swelling and redness or persisting pain, you should contact a doctor for the possible administration of an antibiotic, because the wound is infected. If the trauma was caused by a rusty object you must have a tetanus shot from a healthcare professional.
"
